"item","base_item","quaked","model","description"
"func_door_rotating","func_door_rotating","/* QUAKED func_door_rotating (0 .5 .8) ? START_OPEN REVERSE CRUSHER NOMONSTER ANIMATED TOGGLE X_AXIS Y_AXIS",,"A rotating door."
"func_door_secret","func_door_secret","/* QUAKED func_door_secret (0 .5 .8) ? always_shoot 1st_left 1st_down",,"Secret door. After being shot or triggered, slides back and then to the side."
"func_explosive","func_explosive","/* QUAKED func_explosive (0 .5 .8) ? Trigger_Spawn ANIMATED ANIMATED_FAST",,"Object that explodes when triggered."
"func_group","func_group","/* QUAKED func_group (0 0 0) ?",,"EDITOR-ONLY. Groups brushes for many tasks."
"func_killbox","func_killbox","/* QUAKED func_killbox (1 0 0) ?",,"A brush that kills everything inside of it. Must be triggered in order to work. Ignores all kinds of protection."
"func_object","func_object","/* QUAKED func_object (0 .5 .8) ? TRIGGER_SPAWN ANIMATED ANIMATED_FAST",,"Object that falls down when triggered."
"func_plat","func_plat","/* QUAKED func_plat (0 .5 .8) ? PLAT_LOW_TRIGGER",,"An elevating platform. These are always drawn in the extended position so they will light correctly. If it's in the tatget of another trigger/button, starts out disabled in the extended position until triggered."
"func_rotating","func_rotating","/* QUAKED func_rotating (0 .5 .8) ? START_ON REVERSE X_AXIS Y_AXIS TOUCH_PAIN STOP ANIMATED ANIMATED_FAST",,"A rotating object."
"func_timer","func_timer","/* QUAKED func_timer (0.3 0.1 0.6) (-8 -8 -8) (8 8 8) START_ON",,"A timer. Once a certain amount of time passed, it triggers all of its targets and restarts."
"func_train","func_train","/* QUAKED func_train (0 .5 .8) ? START_ON TOGGLE BLOCK_STOPS",,"Moving, rideable platform. The train follows a set of path_corner that are used for its trajectory, with a small origin brush determining the ''railing'' point of the train. The train spawns in the first target it's pointing at. If the train is the target of a button or trigger, it won't move until triggered."
"func_wall","func_wall","/* QUAKED func_wall (0 .5 .8) ? TRIGGER_SPAWN TOGGLE START_ON ANIMATED ANIMATED_FAST",,"Triggerable solid wall. Can materialize out of thin air and vanish. Used mostly for forcefields and monster closets."
"func_water","func_water","/* QUAKED func_water (0 .5 .8) ? START_OPEN",,"Movable target brush that must be targeted in order to operate. It's recommended to use a texture with liquid properties."
"info_notnull","info_notnull","/* QUAKED info_notnull (0 0.5 0) (-4 -4 -4) (4 4 4)",,"Positional target for target_laser, turret_breach and teleporter_destination."
"info_null","info_null","/* QUAKED info_null (0 0.5 0) (-4 -4 -4) (4 4 4)",,"Positional target for spotlights."
"info_player_coop","info_player_coop","/* QUAKED info_player_coop (1 0 1) (-16 -16 -24) (16 16 32)",,"Starting point for cooperative matches."
"info_player_deathmatch","info_player_deathmatch","/* QUAKED info_player_deathmatch (1 0 1) (-16 -16 -24) (16 16 32)",,"Starting point for deathmatches."
"info_player_intermission","info_player_intermission","/* QUAKED info_player_intermission (1 0 1) (-16 -16 -24) (16 16 32)",,"Camera point for end-of-match."
"info_player_start","info_player_start","/* QUAKED info_player_start (1 0 0) (-16 -16 -24) (16 16 32)",,"Starting point for single-player matches."
"info_player_team1","info_player_team1","/* QUAKED info_player_team1 (1 0 0) (-16 -16 -24) (16 16 32)",,"Spawning position for Red team players."
"info_player_team2","info_player_team2","/* QUAKED info_player_team2 (0 0 1) (-16 -16 -24) (16 16 32)",,"Spawning position for Blue team players."
"info_teleport_destination","info_teleport_destination","/* QUAKED info_teleport_destination (0.5 0.5 0.5) (-16 -16 -24) (16 16 32)",,"Destination point for trigger_teleport."
"item_adrenaline","item_adrenaline","/* QUAKED item_adrenaline (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/adrenal/tris.md2","Adrenaline. Restores health and adds 1HP permanently in SP."
"item_ancient_head","item_ancient_head","/* QUAKED item_ancient_head (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/c_head/tris.md2","John Carmack's Head. Adds 2HP permanently."
"item_armor_body","item_armor_body","/* QUAKED item_armor_body (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/body/tris.md2","Body Armor. Grants 100 AP."
"item_armor_combat","item_armor_combat","/* QUAKED item_armor_combat (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/combat/tris.md2","Combat Armor. Grants 50 AP."
"item_armor_jacket","item_armor_jacket","/* QUAKED item_armor_jacket (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/jacket/tris.md2","Jacket Armor. Grants 10 AP."
"item_armor_shard","item_armor_shard","/* QUAKED item_armor_shard (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/shard/tris.md2","Armor Shard. Grants 5 AP."
"item_bandolier","item_bandolier","/* QUAKED item_bandolier (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/band/tris.md2","Bandolier. Extends the ammunition count for all weapons except grenades and rockets."
"item_breather","item_breather","/* QUAKED item_breather (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/breather/tris.md2","Rebreather. Allows players to breathe in water areas for a certain period of time."
"item_enviro","item_enviro","/* QUAKED item_enviro (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/enviro/tris.md2","Environment Suit. Provides protection from slime areas."
"item_flag_team1","item_flag_team1","/* QUAKED item_flag_team1 (1 0.2 0) (-16 -16 -24) (16 16 32)","players/male/flag1.md2","Red flag."
"item_flag_team2","item_flag_team2","/* QUAKED item_flag_team2 (1 0.2 0) (-16 -16 -24) (16 16 32)","players/male/flag2.md2","Blue flag."
"item_health","item_health","/* QUAKED item_health (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/healing/medium/tris.md2","Medium Health. Provides 10 HP when collected."
"item_health_large","item_health_large","/* QUAKED item_health_large (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/healing/large/tris.md2","Large Health. Provides 25 HP when collected."
"item_health_mega","item_health_mega","/* QUAKED item_health_mega (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/mega_h/tris.md2","Megahealth. Provides 100 HP when collected. The health from this item overstacks."
"item_health_small","item_health_small","/* QUAKED item_health_small (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/healing/stimpack/tris.md2","Stimpack. Provides 5 HP when collected. The health from this item overstacks."
"item_invulnerability","item_invulnerability","/* QUAKED item_invulnerability (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/invulner/tris.md2","Invulnerability. Offers protection against anything that isn't the void or a death pit."
"item_pack","item_pack","/* QUAKED item_pack (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/pack/tris.md2","Ammo Pack. Extends the ammunition count for all weapons."
"item_power_screen","item_power_screen","/* QUAKED item_power_screen (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/screen/tris.md2","Power Screen. Offers frontal partial protection from damage. Consumes cells."
"item_power_shield","item_power_shield","/* QUAKED item_power_shield (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/armor/shield/tris.md2","Power Shield. Offers full-body partial protection from damage. Consumes cells."
"item_quad","item_quad","/* QUAKED item_quad (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/quaddama/tris.md2","Quad Damage. Multiplies weapon damage."
"item_silencer","item_silencer","/* QUAKED item_silencer (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/silencer/tris.md2","Silencer. Silences the player and its weapon fire."
"key_airstrike_target","key_airstrike_target","/* QUAKED key_airstrike_target (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/target/tris.md2","Airstrike Marker."
"key_blue_key","key_blue_key","/* QUAKED key_blue_key (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/key/tris.md2","Blue Key."
"key_commander_head","key_commander_head","/* QUAKED key_commander_head (0 .5 .8) (-16 -16 -16) (16 16 16)","models/monsters/commandr/head/tris.md2","Commander's Head."
"key_data_cd","key_data_cd","/* QUAKED key_data_cd (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/data_cd/tris.md2","Data CD."
"key_data_spinner","key_data_spinner","/* QUAKED key_data_spinner (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/spinner/tris.md2","Data Spinner."
"key_pass","key_pass","/* QUAKED key_pass (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/pass/tris.md2","Security Pass."
"key_power_cube","key_power_cube","/* QUAKED key_power_cube (0 .5 .8) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN NO_TOUCH","models/items/keys/power/tris.md2","Power Cube."
"key_pyramid","key_pyramid","/* QUAKED key_pyramid (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/pyramid/tris.md2","Pyramid Key."
"key_red_key","key_red_key","/* QUAKED key_red_key (0 .5 .8) (-16 -16 -16) (16 16 16)","models/items/keys/red_key/tris.md2","Red Key."
"light","light","/* QUAKED light (0 1 0) (-8 -8 -8) (8 8 8) START_OFF",,"Light source."
"light_mine1","light_mine1","/* QUAKED light_mine1 (0 1 0) (-2 -2 -12) (2 2 12)","models/objects/minelite/light1/tris.md2","Predefined light source with a model attached on it."
"light_mine2","light_mine2","/* QUAKED light_mine2 (0 1 0) (-2 -2 -12) (2 2 12)","models/objects/minelite/light2/tris.md2","Predefined light source with a model attached on it."
"misc_banner","misc_banner","/* QUAKED misc_banner (1 .5 0) (-4 -4 -4) (4 4 4)","models/objects/banner/tris.md2","Banner."
"misc_bigviper","misc_bigviper","/* QUAKED misc_bigviper (1 .5 0) (-176 -120 -24) (176 120 72)","models/ships/bigviper/tris.md2","Big Viper."
"misc_blackhole","misc_blackhole","/* QUAKED misc_blackhole (1 .5 0) (-8 -8 -8) (8 8 8)","models/objects/black/tris.md2","Blackhole Generator. Requires 256x256x256 of space."
"misc_ctf_banner","misc_ctf_banner","/* QUAKED misc_ctf_banner (1 .5 0) (-4 -64 0) (4 64 248) TEAM2","models/ctf/banner/tris.md2","248-px wide banner. Has the origin point on its bottom."
"misc_ctf_small_banner","misc_ctf_small_banner","/* QUAKED misc_ctf_small_banner (1 .5 0) (-4 -32 0) (4 32 124) TEAM2","models/ctf/banner/small.md2","124-px wide banner. Has the origin point on its bottom."
"misc_deadsoldier","misc_deadsoldier","/* QUAKED misc_deadsoldier (1 .5 0) (-16 -16 0) (16 16 16) ON_BACK ON_STOMACH BACK_DECAP FETAL_POS SIT_DECAP IMPALED","models/deadbods/dude/tris.md2","Dead Soldier. Does nothing except be gibbed on fire. Must be placed on the floor, otherwise it will float!"
"misc_easterchick","misc_easterchick","/* QUAKED misc_easterchick (1 .5 0) (-32 -32 0) (32 32 32)","models/monsters/bitch/tris.md2","Easter egg Iron Maiden."
"misc_easterchick2","misc_easterchick2","/* QUAKED misc_easterchick2 (1 .5 0) (-32 -32 0) (32 32 32)","models/monsters/bitch/tris.md2","Easter egg Iron Maiden 2."
"misc_eastertank","misc_eastertank","/* QUAKED misc_eastertank (1 .5 0) (-32 -32 -16) (32 32 32)","models/monsters/tank/tris.md2","Easter egg Tank."
"misc_explobox","misc_explobox","/* QUAKED misc_explobox (0 .5 .8) (-16 -16 0) (16 16 40)","models/objects/barrels/tris.md2","Exploding barrel."
"misc_gib_arm","misc_gib_arm","/* QUAKED misc_gib_arm (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/arm/tris.md2","Arm."
"misc_gib_head","misc_gib_head","/* QUAKED misc_gib_head (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/head/tris.md2","Head."
"misc_gib_leg","misc_gib_leg","/* QUAKED misc_gib_leg (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/gibs/leg/tris.md2","Leg."
"misc_satellite_dish","misc_satellite_dish","/* QUAKED misc_satellite_dish (1 .5 0) (-64 -64 0) (64 64 128)","models/objects/satellite/tris.md2","Satellite Dish. Can be placed as a static decoration (space) or triggered, in whose case it will tilt up and rotate to the left (base3)."
"misc_strogg_ship","misc_strogg_ship","/* QUAKED misc_strogg_ship (1 .5 0) (-16 -16 0) (16 16 32)","models/ships/strogg1/tris.md2","Strogg Ship."
"misc_teleporter","misc_teleporter","/* QUAKED misc_teleporter (1 0 0) (-32 -32 -24) (32 32 -16)","models/objects/dmspot/tris.md2","Teleporter. Teleports the player to a certain location. Must be used in tandem with misc_teleporter_dest."
"misc_teleporter_dest","misc_teleporter_dest","/* QUAKED misc_teleporter_dest (1 0 0) (-32 -32 -24) (32 32 -16)","models/objects/dmspot/tris.md2","Teleporter destination. Must be the target of a misc_teleporter."
"misc_viper","misc_viper","/* QUAKED misc_viper (1 .5 0) (-16 -16 0) (16 16 32)","models/ships/viper/tris.md2","Viper."
"misc_viper_bomb","misc_viper_bomb","/* QUAKED misc_viper_bomb (1 0 0) (-8 -8 -8) (8 8 8)","models/objects/bomb/tris.md2","Viper Bomber. Drops bombs into an area marked previously with key_airstrike_target."
"monster_commander_body","monster_commander_body","/* QUAKED monster_commander_body (1 .5 0) (-32 -32 0) (32 32 48)","models/monsters/commandr/tris.md2","DECORATION ONLY. Tank Commander's body. Usually located near a Commander's Head. For the real thing use instead monster_tank_commander."
"path_corner","path_corner","/* QUAKED path_corner (.5 .3 0) (-8 -8 -8) (8 8 8) TELEPORT",,"Path corner. Used mostly for func_trains and trigger_elevator-triggered func_plat. Also controls the patrol routes of monsters, misc_insanes, misc_vipers, misc_bigvipers and misc_strogg_ships."
"point_combat","point_combat","/* QUAKED point_combat (0.5 0.3 0) (-8 -8 -8) (8 8 8) Hold",,"Combat points for monsters. A monster which is engaging the player will stop at this point and use their ranged attack. Can be linked in order to form a network that the monster will travel. Afterwards they will chase the player."
"target_blaster","target_blaster","/* QUAKED target_blaster (1 0 0) (-8 -8 -8) (8 8 8) NOTRAIL NOEFFECTS",,"Blaster fire. Must be triggered in order to work."
"target_changelevel","target_changelevel","/* QUAKED target_changelevel (1 0 0) (-8 -8 -8) (8 8 8)",,"Level entrance/exit points in SP."
"target_character","target_character","/* QUAKED target_character (0 0 1) ?",,"One of eight 8x16 brushes required for the style of a func_clock to work."
"target_crosslevel_target","target_crosslevel_target","/* QUAKED target_crosslevel_target (.5 .5 .5) (-8 -8 -8) (8 8 8) trigger1 trigger2 trigger3 trigger4 trigger5 trigger6 trigger7 trigger8",,"Targeted event of a target_crosslevel_trigger in SP."
"target_crosslevel_trigger","target_crosslevel_trigger","/* QUAKED target_crosslevel_trigger (.5 .5 .5) (-8 -8 -8) (8 8 8) trigger1 trigger2 trigger3 trigger4 trigger5 trigger6 trigger7 trigger8",,"Triggers up to eight events in another level of the unit in SP."
"target_earthquake","target_earthquake","/* QUAKED target_earthquake (1 0 0) (-8 -8 -8) (8 8 8)",,"An earthquake. Must be triggered in order to work."
"target_explosion","target_explosion","/* QUAKED target_explosion (1 0 0) (-8 -8 -8) (8 8 8)",,"Creates a visual explosion that can inflict damage."
"target_goal","target_goal","/* QUAKED target_goal (1 0 1) (-8 -8 -8) (8 8 8)",,"Goal target. When the map is being loaded in SP, the game counts all of them. When a goal has been triggered, it adds 1 to the goal count."
"target_help","target_help","/* QUAKED target_help (1 0 1) (-16 -16 -24) (16 16 24) help1",,"Computer updater target. Updates the help computer in SP."
"target_laser","target_laser","/* QUAKED target_laser (0 .5 .8) (-8 -8 -8) (8 8 8) START_ON RED GREEN BLUE YELLOW ORANGE FAT",,"Laser that inflicts damage. Moving lasers must be targeted to func_train."
"target_lightramp","target_lightramp","/* QUAKED target_lightramp (0 .5 .8) (-8 -8 -8) (8 8 8) TOGGLE",,"Target that makes a light fade in/out."
"target_secret","target_secret","/* QUAKED target_secret (1 0 1) (-8 -8 -8) (8 8 8)",,"Secret target. When the map is being loaded in SP, the game counts all of them. When a secret has been triggered, it adds 1 to the secret count."
"target_spawner","target_spawner","/* QUAKED target_spawner (1 0 0) (-8 -8 -8) (8 8 8)",,"Spawns another entity. Can be an item or a monster."
"target_speaker","target_speaker","/* QUAKED target_speaker (1 0 0) (-8 -8 -8) (8 8 8) looped-on looped-off reliable",,"Plays a sound in a particular area."
"target_splash","target_splash","/* QUAKED target_splash (1 0 0) (-8 -8 -8) (8 8 8)",,"Spawns liquid splashes in an area."
"target_string","target_string","/* QUAKED target_string (0 0 1) (-8 -8 -8) (8 8 8)",,"Entity that allows func_clock to use target_characters."
"target_temp_entity","target_temp_entity","/* QUAKED target_temp_entity (1 0 0) (-8 -8 -8) (8 8 8)",,"Spawns a specific sprite."
"trigger_always","trigger_always","/* QUAKED trigger_always (.5 .5 .5) (-8 -8 -8) (8 8 8)",,"Trigger that activates at the beginning of the level."
"trigger_counter","trigger_counter","/* QUAKED trigger_counter (.5 .5 .5) ? nomessage",,"Trigger that activates when two or more actions take place. (I.E. a door that opens with two buttons)"
"trigger_elevator","trigger_elevator","/* QUAKED trigger_elevator (0.3 0.1 0.6) (-8 -8 -8) (8 8 8)",,"Elevator trigger. Used in elevators that span multiple levels such as the lava room one in ''Borehole'' (mine2). Must be used in tandem with func_button and func_train (and ofc path_corner)."
"trigger_gravity","trigger_gravity","/* QUAKED trigger_gravity (.5 .5 .5) ?",,"Trigger that affects the gravity of anything inside of it."
"trigger_hurt","trigger_hurt","/* QUAKED trigger_hurt (.5 .5 .5) ? START_OFF TOGGLE SILENT NO_PROTECTION SLOW",,"Trigger that damages anything inside of it."
"trigger_key","trigger_key","/* QUAKED trigger_key (.5 .5 .5) (-8 -8 -8) (8 8 8)",,"Trigger that requires a key_ item in order to be operated."
"trigger_monsterjump","trigger_monsterjump","/* QUAKED trigger_monsterjump (.5 .5 .5) ?",,"Entity that can only be triggered by a monster. Makes the monster jump over something."
"trigger_multiple","trigger_multiple","/* QUAKED trigger_multiple (.5 .5 .5) ? MONSTER NOT_PLAYER TRIGGERED",,"Trigger that can be activated multiple times."
"trigger_once","trigger_once","/* QUAKED trigger_once (.5 .5 .5) ? x x TRIGGERED",,"Trigger that can be activated only once."
"trigger_push","trigger_push","/* QUAKED trigger_push (.5 .5 .5) ? PUSH_ONCE",,"Trigger that pushes the player in any direction. Used for wind tunnels."
"trigger_relay","trigger_relay","/* QUAKED trigger_relay (.5 .5 .5) (-8 -8 -8) (8 8 8)",,"Trigger that relays actions."
"trigger_teleport","trigger_teleport","/* QUAKED trigger_teleport (0.5 0.5 0.5) ?",,"Trigger that teleports any player that touches it."
"viewthing","viewthing","/* QUAKED viewthing (0 .5 .8) (-8 -8 -8) (8 8 8)","models/objects/banner/tris.md2","BROKEN. DON'T USE."
"weapon_bfg","weapon_bfg","/* QUAKED weapon_bfg (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_bfg/tris.md2","BFG10K."
"weapon_chaingun","weapon_chaingun","/* QUAKED weapon_chaingun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_chain/tris.md2","Chaingun."
"weapon_grenadelauncher","weapon_grenadelauncher","/* QUAKED weapon_grenadelauncher (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_launch/tris.md2","Grenade Launcher."
"weapon_hyperblaster","weapon_hyperblaster","/* QUAKED weapon_hyperblaster (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_hyperb/tris.md2","Hyperblaster."
"weapon_machinegun","weapon_machinegun","/* QUAKED weapon_machinegun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_machn/tris.md2","Machinegun."
"weapon_railgun","weapon_railgun","/* QUAKED weapon_railgun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_rail/tris.md2","Railgun."
"weapon_rocketlauncher","weapon_rocketlauncher","/* QUAKED weapon_rocketlauncher (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_rocket/tris.md2","Rocket Launcher."
"weapon_shotgun","weapon_shotgun","/* QUAKED weapon_shotgun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_shotg/tris.md2","Shotgun."
"weapon_supershotgun","weapon_supershotgun","/* QUAKED weapon_supershotgun (.3 .3 1) (-16 -16 -16) (16 16 16)","models/weapons/g_shotg2/tris.md2","Super Shotgun."
"worldspawn","worldspawn","/* QUAKED worldspawn (0 0 0) ?",,"Main world entity. All maps have one."
